-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at constant prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPConsGujarat.csv", 
 "title": "Download CSV for Gross State Domestic Product of Gujarat at factor cost at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPConsGujarat.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture",2674600,3398200,3361600,3715500,3392000,3354400,4197895,4508500
"Forestry & Logging",450400,453200,453100,455000,456800,461200,458100,459200
"Fishing",145600,174800,182000,175100,185200,188600,190300,184800
"Agriculture & Allied",3270600,4026200,3996700,4345600,4034000,4004200,4846295,5152500
"Mining & Quarrying",702600,718600,723900,728300,689500,695100,704866,715200
"Manufacturing",5544300,6568300,7253700,7824400,8158200,10252600,10797400,11252100
"Manufacturing - Registered",4317300,5218300,5743200,6137200,6463800,8359000,8778300,9151100
"Manufacturing - Unregistered",1227000,1350000,1510500,1687200,1694400,1893600,2019100,2101000
"Construction",1302400,1395400,1512400,2074100,2460500,2570000,2820959,3076000
"Electricity, Gas and Water supply",585300,642800,714300,680200,735500,1084900,1247047,1339300
"Industry",8134600,9325100,10204300,11307000,12043700,14602600,15570272,16382600
"Transport, Storage & Communication",1433500,1589400,1771800,2e+06,2201800,2512800,2904331,3431600
"Railways",149600,155300,152400,156800,191900,215000,227500,241700
"Transport by other means",959200,1044400,1151400,1240300,1267700,1349400,1431363,1582400
"Storage",4800,4200,5800,5000,6400,8000,10168,11300
"Communication",319900,385500,462200,597900,735800,940400,1235300,1596200
"Trade, Hotels and restaurants",3368100,3865500,4378200,4991100,5829700,6099900,6753900,7613900
"Banking & Insurance",1135300,1339300,1542800,1790600,1966000,1995100,2296300,2647400
"Real estate, Ownership of dwellings and Business services",1336400,1424700,1522700,1618100,1734000,1783600,1852827,1951800
"Public Administration",648000,699500,769800,810100,859400,962200,1005400,1044500
"Other services",1010800,1107900,1153000,1264800,1365500,1452300,1524667,1664100
"Services",8932100,10026300,11138300,12474700,13956400,14805900,16337426,18353300
"State Domestic Product",20337300,23377600,25339300,28127300,30034100,33412700,36753993,39888400
