-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrMP.csv", 
 "title": "Download CSV for Gross State Domestic Product of Madhya Pradesh at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrMP.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",2753979,3058330,3415396,3593132,4400691,5337389,5694506,7213123,8627164
"Forestry & Logging",342010,364771,383378,413820,476184,559152,621949,732623,802869
"Fishing",27841,27725,33287,31888,42053,48081,53382,63537,78739
"Agriculture & Allied",3123830,3450826,3832061,4038840,4918928,5944622,6369837,8009283,9508772
"Mining & Quarrying",544934,581329,621464,794256,963434,1033906,1012168,1030650,1147633
"Manufacturing",1255729,1391309,1890980,2106421,2642026,2877597,3260132,3655287,3945203
"Manufacturing - Registered",760612,859662,1274694,1402849,1884534,2053650,2324507,2576582,2787518
"Manufacturing - Unregistered",495117,531647,616286,703572,757492,823947,935625,1078705,1157685
"Construction",932423,1076884,1155614,1492048,2087627,2272443,2657670,3155963,3729059
"Electricity, Gas and Water supply",332722,326636,458967,324190,383569,539197,787785,982235,1149815
"Industry",3065808,3376158,4127025,4716915,6076656,6723143,7717755,8824135,9971710
"Transport, Storage & Communication",663813,728042,873886,960435,1103337,1264135,1424283,1662402,2011918
"Railways",198495,196046,265450,278168,286151,318795,310187,336313,368770
"Transport by other means",332432,387287,459550,526232,605698,699904,840744,995364,1167476
"Storage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Communication",132886,144709,148886,156035,211488,245436,273352,330725,475672
"Trade, Hotels and restaurants",1534159,1637451,1971304,2253668,2555508,2907701,3199828,3681576,4239087
"Banking & Insurance",410720,450782,526085,586541,724334,870406,1181449,1494117,1965843
"Real estate, Ownership of dwellings and Business services",923724,1058593,1216285,1455123,1672091,1940129,2355473,2727936,3109240
"Public Administration",554567,602717,626567,688236,951155,1115475,1279270,1535781,1730169
"Other services",1016068,1123030,1284468,1448181,1725611,2032764,2491952,3033461,3650652
"Services",5103051,5600615,6498595,7392184,8732036,10130610,11932255,14135273,16706909
"State Domestic Product",11292689,12427599,14457681,16147939,19727620,22798375,26019847,30968691,36187391
