-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Other Storage) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Other Storage) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,1,0,1,3,0,3,3,0,3
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,3,0,3,172,0,172,53,0,53
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,INDERAVELLY,2,1,3,69,204,272,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,60,1,61,43,0,44,38,0,38
ANDHRA PRADESH,ADILABAD,JAINOOR,1,0,1,26,0,26,4,0,4
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JANNARAM,1,1,2,3,0,4,0,0,1
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,1,0,1,85,0,85,52,0,52
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0,0,0,0,0,0
