-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrGoa.csv", 
 "title": "Download CSV for Gross State Domestic Product of Goa at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrGoa.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture",66193,84062,76244,84486,90531,94924,108657,152017
"Forestry & Logging",7745,8061,13290,13250,15400,23821,33940,34629
"Fishing",25873,40193,39212,43313,43189,47033,48848,66567
"Agriculture & Allied",99811,132317,128746,141050,149120,165778,191445,253213
"Mining & Quarrying",56198,66973,154662,253255,427857,500345,670759,620411
"Manufacturing",380868,417966,462785,507109,626249,716616,726033,746278
"Manufacturing - Registered",331707,361665,394440,425790,537741,623237,628389,642457
"Manufacturing - Unregistered",49161,56301,68345,81319,88508,93379,97644,103821
"Construction",131314,138396,145078,165391,197251,213097,229701,247031
"Electricity, Gas and Water supply",28679,28189,27379,31992,40927,39962,59562,65410
"Industry",597059,651524,789904,957746,1292285,1470020,1686055,1679130
"Transport, Storage & Communication",180104,181838,213618,241914,319896,384943,444474,500917
"Railways",5072,6688,8124,10258,9780,10948,10903,11841
"Transport by other means",157574,155931,183780,207154,280979,339156,392017,460811
"Storage",46,48,58,71,84,305,123,152
"Communication",17412,19171,21657,24431,29053,34534,41431,28113
"Trade, Hotels and restaurants",156198,199998,216303,267906,322666,346400,425480,441809
"Banking & Insurance",68263,71120,86448,100225,120019,132929,154585,187233
"Real estate, Ownership of dwellings and Business services",75606,84797,95681,112658,133244,162016,165162,183811
"Public Administration",42534,57832,60491,62774,111344,117625,129298,142532
"Other services",51756,53232,61092,72223,92809,132843,159721,204573
"Services",574461,648818,733633,857701,1099978,1276756,1478720,1660875
"State Domestic Product",1271331,1432659,1652283,1956496,2541383,2912554,3356221,3593218
