-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at constant prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPConsNagaland.csv", 
 "title": "Download CSV for Gross State Domestic Product of Nagaland at factor cost at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPConsNagaland.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",160164,162992,163672,164020,173787,179919,190714,200993,211847
"Forestry & Logging",40402,42460,43686,44546,49776,49924,52040,53081,54222
"Fishing",2346,2640,2754,2837,3752,4035,4310,4585,5094
"Agriculture & Allied",202912,208092,210112,211403,227315,233878,247064,258659,271163
"Mining & Quarrying",712,773,895,997,1060,1196,1380,1529,1693
"Manufacturing",9841,11855,13461,15261,13236,21105,22973,24447,25979
"Manufacturing - Registered",2118,3533,3603,3611,2826,10510,11562,12710,13907
"Manufacturing - Unregistered",7723,8322,9858,11650,10410,10595,11411,11737,12072
"Construction",56724,67024,77403,83697,100835,101891,105980,115164,125143
"Electricity, Gas and Water supply",7953,8344,9322,11236,13344,13937,14658,15726,16430
"Industry",75230,87996,101081,111191,128475,138129,144991,156866,169245
"Transport, Storage & Communication",57734,62187,71231,83731,74342,90633,102958,105819,108800
"Railways",327,330,423,525,448,623,693,701,709
"Transport by other means",47956,49023,52643,54672,55282,56462,56728,57295,57868
"Storage",81,82,94,105,118,134,157,174,192
"Communication",9370,12752,18071,28429,18494,33414,45380,47649,50031
"Trade, Hotels and restaurants",19627,21450,22369,27438,29338,31894,33276,35273,37389
"Banking & Insurance",8371,10102,13689,16311,16089,19193,24684,27154,29871
"Real estate, Ownership of dwellings and Business services",105139,126450,140381,153292,153359,157378,157878,158896,159834
"Public Administration",68980,75158,78922,82070,99027,110176,111792,118723,128584
"Other services",45891,52136,56000,59101,63742,64977,69865,76520,82206
"Services",305742,347483,382592,421943,435897,474251,500453,522385,546684
"State Domestic Product",583884,643571,693785,744537,791687,846258,892508,937910,987092
