-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "AssamGSDPcurrent.csv", 
 "title": "Download CSV for Assam Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/AssamGSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","1158871","1427998","1434835","1557501","1752517","2127696","2538973","2646908","2883323"
"Foresty and Logging","127332","142226","140971","147797","156160","166935","184586","210807","224784"
"Fishing","79363","115528","146975","146761","159180","184205","238814","253142","302261"
"Ag and Allied","1365566","1685752","1722781","1852059","2067857","2478836","2962373","3110857","3410368"
"Mining and Quarrying","467925","494435","499749","522027","580974","677976","733090","809645","927425"
"Sub total of primary","1833491","2180187","2222530","2374086","2648832","3156812","3695463","3920502","4337793"
"Manufacturing","562146","565728","616757","609499","608147","772464","905889","1023186","1170324"
"Registered","434687","425730","449266","411747","391864","552955","642730","729086","827558"
"Unregistered","127459","139997","167492","197752","216284","219509","263158","294100","342766"
"Construction","342026","334175","379149","408050","681504","751883","849904","1011812","1138737"
"Electricity, Gas and water Supply","98412","104656","99146","123242","142028","128998","129150","136501","143883"
"Sub total of secondary","1002584","1004559","1095052","1140791","1431680","1653345","1884943","2171498","2452943"
"Industry","1470509","1498994","1594801","1662818","2012654","2331321","2618033","2981144","3380368"
"Transport Storage and Communication","329700","362655","432914","514691","566604","671704","774154","892436","1072429"
"Railways","89783","93723","126065","166511","155787","160486","175189","176030","212002"
"Transport by other means","157887","173405","198617","225078","263950","327903","373967","435253","499248"
"Storage","2509","2630","3403","3767","4057","5096","5526","6534","7942"
"Communication","79521","92897","104828","119335","142810","178219","219473","274618","353237"
"Trade, hotels and restaurants","752981","901881","1031747","1132387","1274253","1409263","1555605","1719930","1935794"
"Banking and Insurance","162017","168184","199596","225772","243984","296680","383776","464795","565393"
"Real estate, ownership of dwelling and business","146463","161876","180473","195625","219899","245164","279357","310380","337679"
"Pubic Administration","342066","348435","380963","448692","528644","700902","747404","939076","1118993"
"Other Services","770469","810682","925946","1075575","1193472","1463587","1925923","2235748","2535658"
"Sub total of tertiary","2503697","2753713","3151638","3592743","4026855","4787300","5666219","6562365","7565946"
"State domestic product","5339772","5938459","6469220","7107620","8107367","9597457","11246626","12654365","14356682"

"Figures are in Rs. Lakh"
